name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
Chabichou,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|goaty|nutty|citrusy,semi-soft,France
Crottin de Chavignol,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|tangy|nutty|goaty,semi-soft,France
Valencay,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|goaty|nutty|citrusy,semi-soft,France
Bleu d'Auvergne,placeholder,cheese,slice,wire_cheese_am_beyk0d,spicy|pungent|buttery|salty,crumbly,France
Fourme d'Ambert,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|pungent|nutty|buttery,crumbly,France
Bleu de Gex,placeholder,cheese,slice,wire_cheese_am_beyk0d,sharp|spicy|savory|nutty,crumbly,France
Saint-Nectaire,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|nutty|buttery|mushroomy,semi-soft,France
Cantal,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|nutty|buttery|savory,firm,France
Salers,placeholder,cheese,slice,wire_cheese_am_beyk0d,grassy|nutty|buttery|earthy,firm,France
Pelardon,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|goaty|nutty|herbal,semi-soft,France
Selles-sur-Cher,placeholder,cheese,slice,wire_cheese_am_beyk0d,goaty|nutty|citrusy|earthy,semi-soft,France
Banon,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|nutty|tangy|herbal,soft,France
Feta,placeholder,cheese,slice,wire_cheese_am_beyk0d,salty|tangy|briny|crumbly,crumbly,Greece
Halloumi,placeholder,cheese,slice,wire_cheese_am_beyk0d,salty|milky|grilled|chewy,firm,Cyprus
Kefalotyri,placeholder,cheese,slice,wire_cheese_am_beyk0d,salty|tangy|nutty|sharp,hard,Greece
Graviera,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|caramelized|mild,firm,Greece
Pecorino Romano,placeholder,cheese,slice,wire_cheese_am_beyk0d,salty|sharp|umami|nutty,hard,Italy
Pecorino Toscano,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|mild|buttery,firm,Italy
Pecorino Sardo,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|nutty|savory|sharp,hard,Italy
Pecorino Siciliano,placeholder,cheese,slice,wire_cheese_am_beyk0d,strong|spicy|sharp|savory,hard,Italy
Ricotta,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|milky|sweet|creamy,soft,Italy
Mozzarella,placeholder,cheese,slice,wire_cheese_am_beyk0d,milky|mild|creamy|buttery,soft,Italy
Burrata,placeholder,cheese,slice,wire_cheese_am_beyk0d,rich|milky|buttery|creamy,soft,Italy
Scamorza,placeholder,cheese,slice,wire_cheese_am_beyk0d,smoky|milky|buttery|savory,semi-soft,Italy
Provolone,placeholder,cheese,slice,wire_cheese_am_beyk0d,sharp|nutty|savory|buttery,semi-hard,Italy
Fontina,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|nutty|buttery|fruity,semi-soft,Italy
Asiago,placeholder,cheese,slice,wire_cheese_am_beyk0d,savory|nutty|buttery|sharp,firm,Italy
Taleggio,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|pungent|buttery|savory,soft,Italy
Stracchino,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|milky|buttery|tangy,soft,Italy
Caciocavallo,placeholder,cheese,slice,wire_cheese_am_beyk0d,sharp|nutty|earthy|savory,semi-hard,Italy
Raclette,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|savory|buttery,semi-soft,Switzerland
Tete de Moine,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|nutty|fruity|savory,firm,Switzerland
Vacherin Mont d'Or,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|creamy|buttery|nutty,soft,Switzerland
Appenzeller,placeholder,cheese,slice,wire_cheese_am_beyk0d,spicy|savory|nutty|buttery,firm,Switzerland
Sbrinz,placeholder,cheese,slice,wire_cheese_am_beyk0d,strong|nutty|sharp|savory,hard,Switzerland
Beaufort,placeholder,cheese,slice,wire_cheese_am_beyk0d,fruity|nutty|buttery|savory,firm,France
Manchego,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|nutty|buttery|savory,firm,Spain
Idiazabal,placeholder,cheese,slice,wire_cheese_am_beyk0d,smoky|nutty|earthy|savory,firm,Spain
Mahon,placeholder,cheese,slice,wire_cheese_am_beyk0d,sharp|buttery|nutty|salty,firm,Spain
Roncal,placeholder,cheese,slice,wire_cheese_am_beyk0d,earthy|nutty|buttery|savory,firm,Spain
Tetilla,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|buttery|milky|sweet,soft,Spain
Cabrales,placeholder,cheese,slice,wire_cheese_am_beyk0d,strong|spicy|pungent|savory,crumbly,Spain
Queso de Valdeón,placeholder,cheese,slice,wire_cheese_am_beyk0d,spicy|pungent|nutty|savory,crumbly,Spain
Anejo Enchilado,placeholder,cheese,slice,wire_cheese_am_beyk0d,spicy|sharp|nutty|savory,firm,Mexico
Panela,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|milky|buttery|fresh,soft,Mexico
Cotija,placeholder,cheese,slice,wire_cheese_am_beyk0d,salty|sharp|crumbly|umami,hard,Mexico
Oaxaca,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|buttery|milky|stringy,semi-soft,Mexico
Queso Blanco,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|buttery|milky|fresh,soft,Mexico
Queso Fresco,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|milky|tangy|crumbly,soft,Mexico
Edam,placeholder,cheese,slice,wire_cheese_am_beyk0d,nutty|savory|buttery|slightly sweet,semi-hard,Netherlands
Wensleydale,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|fruity|tangy|crumbly,crumbly,United Kingdom
Red Leicester,placeholder,cheese,slice,wire_cheese_am_beyk0d,nutty|buttery|savory|sharp,firm,United Kingdom
Double Gloucester,placeholder,cheese,slice,wire_cheese_am_beyk0d,buttery|nutty|savory|mild,firm,United Kingdom
Cheshire,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|savory|buttery|crumbly,crumbly,United Kingdom
Caerphilly,placeholder,cheese,slice,wire_cheese_am_beyk0d,tangy|buttery|savory|crumbly,crumbly,United Kingdom
Lancashire,placeholder,cheese,slice,wire_cheese_am_beyk0d,crumbly|buttery|tangy|savory,crumbly,United Kingdom
Dorset Blue Vinny,placeholder,cheese,slice,wire_cheese_am_beyk0d,spicy|pungent|savory|nutty,crumbly,United Kingdom
Shropshire Blue,placeholder,cheese,slice,wire_cheese_am_beyk0d,strong|spicy|savory|nutty,crumbly,United Kingdom
Yarg,placeholder,cheese,slice,wire_cheese_am_beyk0d,mild|earthy|buttery|tangy,semi-soft,United Kingdom
